predictionTimestamp,location,temperature,humidity,cloudiness,weatherDescription,partOfDay
2025-05-19T00:00:00Z,Las_Palmas,18.75,75.0,90.0,overcast clouds,n
2025-05-19T10:00:00Z,Las_Palmas,19.53,70.0,86.0,overcast clouds,d
2025-05-19T11:00:00Z,Las_Palmas,19.77,68.0,71.0,broken clouds,d
2025-05-19T12:00:00Z,Las_Palmas,19.86,67.0,60.0,broken clouds,d
2025-05-19T13:00:00Z,Las_Palmas,19.88,67.0,9.0,clear sky,d
2025-05-19T14:00:00Z,Las_Palmas,19.96,68.0,6.0,clear sky,d
2025-05-19T15:00:00Z,Las_Palmas,20.06,69.0,5.0,clear sky,d
2025-05-19T16:00:00Z,Las_Palmas,20.06,70.0,4.0,clear sky,d
2025-05-19T17:00:00Z,Las_Palmas,19.87,71.0,6.0,clear sky,d
2025-05-19T18:00:00Z,Las_Palmas,19.52,73.0,6.0,clear sky,d
2025-05-19T19:00:00Z,Las_Palmas,19.17,75.0,9.0,clear sky,d
2025-05-19T01:00:00Z,Las_Palmas,18.62,73.0,88.0,overcast clouds,n
2025-05-19T20:00:00Z,Las_Palmas,19.09,77.0,30.0,scattered clouds,n
2025-05-19T21:00:00Z,Las_Palmas,18.96,78.0,55.0,broken clouds,n
2025-05-19T22:00:00Z,Las_Palmas,19.02,77.0,66.0,broken clouds,n
2025-05-19T23:00:00Z,Las_Palmas,19.2,78.0,73.0,broken clouds,n
2025-05-19T02:00:00Z,Las_Palmas,18.3,74.0,57.0,broken clouds,n
2025-05-19T03:00:00Z,Las_Palmas,18.17,76.0,42.0,scattered clouds,n
2025-05-19T04:00:00Z,Las_Palmas,18.15,77.0,35.0,scattered clouds,n
2025-05-19T05:00:00Z,Las_Palmas,18.13,79.0,30.0,scattered clouds,n
2025-05-19T06:00:00Z,Las_Palmas,18.17,80.0,29.0,scattered clouds,n
2025-05-19T07:00:00Z,Las_Palmas,18.65,76.0,76.0,broken clouds,d
2025-05-19T08:00:00Z,Las_Palmas,18.93,73.0,85.0,overcast clouds,d
2025-05-19T09:00:00Z,Las_Palmas,19.27,71.0,90.0,overcast clouds,d
2025-05-19T00:00:00Z,Madrid,18.68,55.0,41.0,scattered clouds,n
2025-05-19T10:00:00Z,Madrid,19.05,47.0,69.0,broken clouds,d
2025-05-19T11:00:00Z,Madrid,19.78,38.0,55.0,broken clouds,d
2025-05-19T12:00:00Z,Madrid,20.46,31.0,46.0,scattered clouds,d
2025-05-19T13:00:00Z,Madrid,20.94,29.0,8.0,clear sky,d
2025-05-19T14:00:00Z,Madrid,21.2,28.0,35.0,scattered clouds,d
2025-05-19T15:00:00Z,Madrid,21.65,28.0,36.0,scattered clouds,d
2025-05-19T16:00:00Z,Madrid,21.55,30.0,29.0,scattered clouds,d
2025-05-19T17:00:00Z,Madrid,20.36,32.0,38.0,scattered clouds,d
2025-05-19T18:00:00Z,Madrid,19.96,32.0,44.0,scattered clouds,d
2025-05-19T19:00:00Z,Madrid,19.46,34.0,55.0,broken clouds,d
2025-05-19T01:00:00Z,Madrid,17.86,59.0,0.0,clear sky,n
2025-05-19T20:00:00Z,Madrid,18.81,36.0,84.0,broken clouds,n
2025-05-19T21:00:00Z,Madrid,17.54,41.0,59.0,broken clouds,n
2025-05-19T22:00:00Z,Madrid,16.88,44.0,45.0,scattered clouds,n
2025-05-19T23:00:00Z,Madrid,16.5,47.0,35.0,scattered clouds,n
2025-05-19T02:00:00Z,Madrid,17.25,60.0,1.0,clear sky,n
2025-05-19T03:00:00Z,Madrid,16.88,60.0,1.0,clear sky,n
2025-05-19T04:00:00Z,Madrid,15.68,64.0,2.0,clear sky,n
2025-05-19T05:00:00Z,Madrid,14.5,69.0,4.0,clear sky,d
2025-05-19T06:00:00Z,Madrid,14.32,68.0,4.0,clear sky,d
2025-05-19T07:00:00Z,Madrid,15.41,62.0,9.0,clear sky,d
2025-05-19T08:00:00Z,Madrid,16.58,57.0,47.0,scattered clouds,d
2025-05-19T09:00:00Z,Madrid,17.71,53.0,64.0,broken clouds,d
2025-05-18T00:00:00Z,Las_Palmas,18.53,76.0,5.0,clear sky,n
2025-05-18T10:00:00Z,Las_Palmas,19.52,78.0,46.0,scattered clouds,d
2025-05-18T11:00:00Z,Las_Palmas,19.85,77.0,43.0,scattered clouds,d
2025-05-18T12:00:00Z,Las_Palmas,20.04,78.0,41.0,scattered clouds,d
2025-05-18T13:00:00Z,Las_Palmas,20.08,79.0,37.0,scattered clouds,d
2025-05-18T14:00:00Z,Las_Palmas,20.08,80.0,39.0,scattered clouds,d
